1 input_north_south_trajectories.asc ' RR3X_h2 ' Apr  4 2025 17:29:31
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
512.602         0               0.0201888       0.0080969       2.4934          
0.0103099       0.0200826       0.00835686      0               0               
0.93143         0               -0.73974        5.61937         5.61173         
5.61937         -0.00200498     6.47547         0.931381        0               
0               -0.000182617    24000           999999          440786          
114740          0               0               0               0               
0               0               0               0               
210             109.9           0.0109592       0.882561        -9.03489        
72052.6         5.94957         -116.609        34.4019         24011.9         
1752.9          100.169         -5.96309e-06    -33276.2        366632          
-11.8732        -309.466        1725.37         0.000182434     3               
0.62715         1861.79         0.877137        1240.65         6843.82         
509.789         0               0.0201561       0.00809435      2.49014         
0.0103077       0.0200494       0.00835502      0               0               
0.931371        0               -0.742964       5.57875         5.57096         
5.57875         -0.00201635     6.46684         0.931322        0               
0               -0.000182434    24000           999999          432060          
114749          0               0               0               0               
0               0               0               0               
215             114.9           0.0113712       0.875974        -9.03495        
72058.4         5.94981         -116.516        34.3878         24011.9         
1752.97         100.391         -5.95341e-06    -34840.3        375256          
-11.8723        -316.184        1724.22         0.000182145     3               
0.62715         1858.98         0.876998        1240.64         6842.96         
506.977         0               0.0201234       0.0080918       2.48688         
0.0103054       0.0200163       0.00835317      0               0               
0.931311        0               -0.746189       5.53733         5.52938         
5.53733         -0.00202774     6.45822         0.931262        0               
0               -0.000182145    24000           999999          423331          
114758          0               0               0               0               
0               0               0               0               
220             119.9           0.0117767       0.869256        -9.03501        
72064.3         5.95005         -116.422        34.3735         24011.9         
1753.04         100.613         -5.94009e-06    -36438          383874          
-11.8714        -322.863        1723.06         0.000181745     3               
0.62715         1856.16         0.87686         1240.63         6842.11         
504.165         0               0.0200906       0.00808926      2.48361         
0.0103031       0.019983        0.00835133      0               0               
0.931251        0               -0.749416       5.49507         5.48696         
5.49507         -0.00203917     6.44963         0.931201        0               
0               -0.000181745    24000           999999          414600          
114767          0               0               0               0               
0               0               0               0               
225             124.9           0.0121758       0.862399        -9.03506        
72070.5         5.95031         -116.328        34.3589         24011.9         
1753.12         100.833         -5.92297e-06    -38068.9        392487          
-11.8705        -329.503        1721.88         0.000181229     3               
0.62715         1853.35         0.876722        1240.61         6841.26         
501.353         0               0.0200577       0.00808671      2.48033         
0.0103008       0.0199498       0.00834948      0               0               
0.93119         0               -0.752644       5.45194         5.44366         
5.45194         -0.00205062     6.44104         0.93114         0               
0               -0.000181229    24000           999999          405868          
114777          0               0               0               0               
0               0               0               0               
230             129.9           0.0125686       0.855398        -9.03512        
