1 input_north_south_trajectories.asc  Apr  4 2025 17:29:30
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
185             84.9            0.0114648       -2.4901         -9.03802        
72007.9         5.9477          -117.08         34.9878         24011.8         
1752.35         78.4154         -2.74743e-05    32117.9         322627          
-11.8211        351.897         1716.65         0.000840283     3               
0.629607        1875.15         0.880961        1240.08         6895.32         
523.154         0               0.0209626       0.00815934      2.56915         
0.0103413       0.020867        0.00840068      0               0               
0.961846        0               -0.661167       -15.4039        -15.4093        
-15.4039        -0.001787       6.49361         0.961802        0               
0               -0.000840283    24000           999999          551279          
114677          0               0               0               0               
0               0               0               0               
190             89.9            0.0119178       -2.49501        -9.03828        
72011.5         5.94784         -116.986        35.0037         24011.8         
1752.39         78.0882         -2.82652e-05    33901.9         331206          
-11.8169        361.703         1714.66         0.000864491     3               
0.629607        1872.32         0.880833        1240.08         6894.52         
520.319         0               0.0209339       0.00815701      2.56637         
0.0103396       0.0208379       0.00839906      0               0               
0.962006        0               -0.664033       -15.4324        -15.4379        
-15.4324        -0.00179714     6.48469         0.961962        0               
0               -0.000864491    24000           999999          542767          
114682          0               0               0               0               
0               0               0               0               
195             94.9            0.0123649       -2.50002        -9.03856        
72015.2         5.948           -116.892        35.0202         24011.8         
1752.44         77.7603         -2.90636e-05    35734.9         339774          
-11.8125        371.521         1712.6          0.000888935     3               
0.629607        1869.48         0.880705        1240.09         6893.72         
517.485         0               0.0209052       0.00815468      2.56358         
0.0103379       0.0208088       0.00839744      0               0               
0.96217         0               -0.666893       -15.4615        -15.467         
-15.4615        -0.00180728     6.47577         0.962126        0               
0               -0.000888935    24000           999999          534248          
114688          0               0               0               0               
0               0               0               0               
200             99.9            0.012806        -2.50512        -9.03883        
72019.1         5.94816         -116.799        35.037          24011.8         
1752.49         77.4314         -2.98699e-05    37617.1         348331          
-11.808         381.354         1710.49         0.000913618     3               
0.629607        1866.65         0.880579        1240.09         6892.93         
514.651         0               0.0208765       0.00815236      2.56079         
0.0103362       0.0207798       0.00839582      0               0               
0.962337        0               -0.669746       -15.4911        -15.4968        
-15.4911        -0.00181743     6.46688         0.962293        0               
0               -0.000913618    24000           999999          525722          
114694          0               0               0               0               
0               0               0               0               
205             104.9           0.0132411       -2.51033        -9.03912        
72023.2         5.94832         -116.705        35.0543         24011.8         
1752.53         77.1018         -3.06839e-05    39548.5         356879          
-11.8034        391.201         1708.31         0.000938545     3               
0.629607        1863.82         0.880453        1240.09         6892.14         
511.817         0               0.0208479       0.00815005      2.55801         
0.0103344       0.0207508       0.0083942       0               0               
0.962508        0               -0.672592       -15.5212        -15.527         
-15.5212        -0.00182759     6.45799         0.962464        0               
0               -0.000938545    24000           999999          517189          
114701          0               0               0               0               
0               0               0               0               
210             109.9           0.0136703       -2.51564        -9.03941        
72027.3         5.94849         -116.612        35.0721         24011.8         
1752.58         76.7712         -3.1506e-05     41529.1         365415          
-11.7986        401.061         1706.08         0.000963718     3               
0.629607        1860.98         0.880328        1240.09         6891.36         
508.983         0               0.0208193       0.00814774      2.55522         
0.0103326       0.0207218       0.00839259      0               0               
0.962683        0               -0.675431       -15.552         -15.5579        
-15.552         -0.00183775     6.44911         0.962639        0               
0               -0.000963718    24000           999999          508649          
114707          0               0               0               0               
0               0               0               0               
215             114.9           0.0140936       -2.52105        -9.03972        
72031.7         5.94867         -116.518        35.0903         24011.8         
1752.64         76.4398         -3.23363e-05    43559.1         373939          
-11.7937        410.936         1703.78         0.000989143     3               
0.629607        1858.15         0.880204        1240.09         6890.59         
506.15          0               0.0207907       0.00814545      2.55243         
0.0103307       0.0206928       0.00839098      0               0               
0.962862        0               -0.678263       -15.5834        -15.5894        
-15.5834        -0.00184791     6.44024         0.962818        0               
0               -0.000989143    24000           999999          500102          
114714          0               0               0               0               
0               0               0               0               
220             119.9           0.014511        -2.52658        -9.04002        
72036.1         5.94885         -116.425        35.1089         24011.8         
1752.69         76.1074         -3.31749e-05    45638.5         382452          
-11.7887        420.825         1701.42         0.00101483      3               
0.629607        1855.32         0.880081        1240.08         6889.82         
503.317         0               0.0207622       0.00814316      2.54965         
0.0103289       0.0206639       0.00838937      0               0               
0.963045        0               -0.681087       -15.6154        -15.6215        
-15.6154        -0.00185808     6.43139         0.963           0               
0               -0.00101483     24000           999999          491549          
114721          0               0               0               0               
0               0               0               0               
225             124.9           0.0149225       -2.53222        -9.04034        
72040.7         5.94903         -116.332        35.128          24011.8         
1752.74         75.7741         -3.4022e-05     47767.4         390953          
-11.7836        430.728         1699            0.00104077      3               
0.629607        1852.48         0.879958        1240.08         6889.06         
500.485         0               0.0207337       0.00814087      2.54687         
0.010327        0.0206351       0.00838776      0               0               
0.963232        0               -0.683903       -15.648         -15.6543        
-15.648         -0.00186825     6.42254         0.963188        0               
0               -0.00104077     24000           999999          482988          
114728          0               0               0               0               
0               0               0               0               
230             129.9           0.0153281       -2.53798        -9.04067        
